,profile_id,lat,lon,prediction
0,1900977_343,-55.157,178.214,4
1,1901157_290,-55.494,-141.768,4
2,1901734_92,-51.081,154.338,6
3,1902197_15,-1.294,-132.725,2
4,2901302_287,-52.224,152.206,4
5,2901303_285,-50.311,175.789,6
6,2901303_300,-46.401,-179.147,6
7,2901346_263,-42.595,-161.927,6
8,2901489_246,22.358,168.092,5
9,2901520_219,9.317,144.597,2
10,2901545_173,13.929,130.17,3
11,2901549_197,2.065,167.694,3
12,2901761_75,24.408,138.644,7
13,2901764_109,19.509,138.38,5
14,2901765_112,20.004,137.489,5
15,2902525_231,29.1246,142.6092,7
16,2902527_292,35.6225,-171.2252,0
17,2902585_152,42.727,139.35,4
18,2902585_162,43.446,138.736,1
19,2902603_169,43.478,175.914,4
20,2902656_254,10.594,126.68,3
21,2902676_132,18.828,126.256,5
22,2902676_53,16.288,123.465,5
23,2902688_106,15.685,128.408,5
24,2902703_175,16.93,127.342,5
25,2902703_179,17.088,127.123,5
26,2902704_56,16.74,128.213,5
27,2902717_10,21.107,126.235,5
28,2902717_66,20.02,125.479,7
29,2902719_60,19.808,137.253,5
30,2902719_93,20.468,138.592,7
31,2902724_166,15.144,134.616,5
32,2902728_115,15.7,133.568,5
33,2902728_40,15.724,132.442,5
34,2902729_139,6.129,125.992,3
35,2902729_170,5.754,126.048,2
36,2902729_208,4.93,126.082,3
37,2902746_22,20.049,145.611,5
38,2902747_16,22.083,140.827,7
39,2902750_156,30.457065,133.70627666666667,7
40,2902754_69,30.536563333333334,136.71060666666668,2
41,2902976_186,41.437,175.853,6
42,2902980_151,39.914,147.057,4
43,2902983_170,23.681,148.754,5
44,2902995_55,24.131,147.253,7
45,2902997_143,43.707,155.915,4
46,2902998_90,28.619,136.278,7
47,2903000_81,26.685,129.826,7
48,2903182_118,40.401,161.384,6
49,2903190_120,30.446,153.528,7
50,2903190_133,29.288,151.861,7
51,2903191_103,20.797,131.945,7
52,2903191_120,20.217,130.111,7
53,2903193_79,31.864,133.564,7
54,2903194_79,33.638,156.513,7
55,2903202_124,40.712,168.188,6
56,2903203_128,39.802,176.744,0
57,2903205_86,21.58,165.065,5
58,2903206_361,37.417,-170.025,0
59,2903206_404,36.008,-169.722,0
60,2903206_472,35.337,-170.052,0
61,2903206_481,35.425,-170.019,0
62,2903221_26,30.265,138.748,7
63,2903328_53,30.71,163.287,7
64,2903331_4,23.245,133.863,7
65,2903344_11,26.753,146.53,7
66,2903345_1,33.859,148.27,7
67,2903347_17,24.3,167.217,5
68,2903351_10,37.43,163.095,0
69,2903354_72,46.498,158.208,4
70,2903354_92,46.292,158.784,4
71,2903366_24,29.77,131.582,7
72,2903372_10,31.72,137.932,2
73,2903373_15,39.965,144.448,4
74,2903378_1,26.119,136.884,7
75,2903379_2,38.142,144.201,4
76,3900544_436,-6.143,-154.393,3
77,3900614_400,-8.054,169.541,5
78,3901156_184,12.015,-126.62,2
79,3901159_270,1.48505,-104.06122,2
80,3901160_257,1.0639,-120.43043,2
81,3901163_257,0.95441,-101.80371,0
82,3901183_154,-10.577,-90.919,2
83,3901186_158,-3.393,-107.145,2
84,3901188_197,-5.838,-93.998,0
85,3901192_143,-6.994,-105.761,2
86,3901205_123,-5.64489,-101.03144,2
87,3901206_168,-6.67088,-129.60548,3
88,3901209_141,-5.91843,-119.05591,3
89,3901245_134,-46.10918,-104.68641,6
90,3901246_64,-8.58325,-104.00164,2
91,3901248_62,-9.91035,-109.11562,3
92,3901253_90,-21.49961,-100.57459,5
93,3901255_52,-35.799,-78.188,6
94,3901259_64,-19.122,-70.52,0
95,3901260_180,-1.31378,-93.07804,0
96,3901268_79,-21.53281,-97.21676,0
97,3901272_74,-18.48526,-76.38023,0
98,3901276_56,-29.70455,-107.12101,0
99,3901285_79,-23.429,-73.871,0
100,3901286_88,-34.348,-75.679,6
101,3901304_39,10.823,149.181,3
102,3901470_71,-34.09795,-78.9534,6
103,3901473_30,-46.1344,-106.74495,6
104,3901476_54,-47.8209,-90.09188,4
105,3901798_14,-12.51621,-118.39068,3
106,3901803_7,-8.76727,-119.47743,3
107,3901807_156,-22.15501,-86.53722,0
108,3901808_103,-11.32832,-81.60129,0
109,3901808_156,-11.54667,-79.13055,0
110,3901809_171,-13.96355,-79.65971,0
111,3901815_146,-15.92402,-93.96772,2
112,3901816_147,-10.0989,-110.44184,3
113,3901899_59,-44.15942166666667,145.25119833333332,6
114,3901900_80,-57.520095,-152.950455,1
